Timestamp,Source MAC,Destination MAC,Source Port,Destination Port,Length
2024-03-06 12:42:09.580,ea:5b:d9:31:4c:c3,33:33:00:00:00:16,3,4294967291,90
2024-03-06 12:42:09.582,ea:5b:d9:31:4c:c3,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.582,ea:5b:d9:31:4c:c3,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.583,ea:5b:d9:31:4c:c3,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.662,b2:ca:60:8e:01:16,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.664,b2:ca:60:8e:01:16,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.682,00:00:00:00:00:08,33:33:00:00:00:16,3,4294967291,90
2024-03-06 12:42:09.684,00:00:00:00:00:08,33:33:00:00:00:02,3,4294967291,70
2024-03-06 12:42:09.686,00:00:00:00:00:08,33:33:00:00:00:16,4,4294967291,90
2024-03-06 12:42:09.687,00:00:00:00:00:08,33:33:00:00:00:02,4,4294967291,70
2024-03-06 12:42:09.689,00:00:00:00:00:08,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.690,00:00:00:00:00:08,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.691,00:00:00:00:00:08,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.693,00:00:00:00:00:08,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.694,00:00:00:00:00:08,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.695,00:00:00:00:00:08,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.805,00:00:00:00:00:0f,33:33:00:00:00:16,5,4294967291,90
2024-03-06 12:42:09.808,00:00:00:00:00:0f,33:33:00:00:00:02,5,4294967291,70
2024-03-06 12:42:09.813,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.815,00:00:00:00:00:0f,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.817,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.820,00:00:00:00:00:0f,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.823,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.824,00:00:00:00:00:0f,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.826,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.828,00:00:00:00:00:0f,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:09.832,00:00:00:00:00:0a,33:33:00:00:00:16,2,4294967291,90
2024-03-06 12:42:09.834,00:00:00:00:00:0a,33:33:00:00:00:02,2,4294967291,70
2024-03-06 12:42:09.878,00:00:00:00:00:02,33:33:00:00:00:16,3,4294967291,90
2024-03-06 12:42:09.881,00:00:00:00:00:02,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.884,00:00:00:00:00:02,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.886,00:00:00:00:00:02,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.887,00:00:00:00:00:02,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.907,00:00:00:00:00:05,33:33:00:00:00:16,2,4294967291,90
2024-03-06 12:42:09.909,00:00:00:00:00:05,33:33:00:00:00:16,3,4294967291,90
2024-03-06 12:42:09.912,00:00:00:00:00:05,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.914,00:00:00:00:00:05,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.915,00:00:00:00:00:05,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:09.963,b2:ca:60:8e:01:16,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.072,9a:a4:05:fe:d8:9d,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.090,00:00:00:00:00:07,33:33:00:00:00:16,2,4294967291,90
2024-03-06 12:42:10.095,00:00:00:00:00:07,33:33:00:00:00:16,4,4294967291,90
2024-03-06 12:42:10.100,00:00:00:00:00:07,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.103,00:00:00:00:00:07,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.107,00:00:00:00:00:07,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.124,ce:d1:19:30:6e:2c,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.462,c6:ea:24:87:59:b6,33:33:00:00:00:16,4,4294967291,90
2024-03-06 12:42:10.467,00:00:00:00:00:01,33:33:00:00:00:16,2,4294967291,90
2024-03-06 12:42:10.469,00:00:00:00:00:0a,33:33:00:00:00:16,2,4294967291,90
2024-03-06 12:42:10.475,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.477,c6:ea:24:87:59:b6,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.479,c6:ea:24:87:59:b6,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.481,c6:ea:24:87:59:b6,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.485,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.486,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.488,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.548,00:00:00:00:00:08,33:33:00:00:00:16,3,4294967291,90
2024-03-06 12:42:10.553,00:00:00:00:00:08,33:33:00:00:00:16,4,4294967291,90
2024-03-06 12:42:10.557,00:00:00:00:00:08,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.559,00:00:00:00:00:08,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.562,00:00:00:00:00:08,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.828,00:00:00:00:00:0f,33:33:00:00:00:16,5,4294967291,90
2024-03-06 12:42:10.835,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.838,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.841,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:10.844,00:00:00:00:00:0f,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:12.458,ea:5b:d9:31:4c:c3,33:33:00:00:00:02,3,4294967291,70
2024-03-06 12:42:12.464,aa:4e:63:08:b2:3d,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.469,ea:5b:d9:31:4c:c3,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.473,ea:5b:d9:31:4c:c3,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.475,ea:5b:d9:31:4c:c3,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.481,aa:4e:63:08:b2:3d,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.483,aa:4e:63:08:b2:3d,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.485,aa:4e:63:08:b2:3d,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.714,00:00:00:00:00:09,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.722,3e:8d:97:91:21:11,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.729,00:00:00:00:00:02,33:33:00:00:00:02,3,4294967291,70
2024-03-06 12:42:12.735,00:00:00:00:00:02,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.741,00:00:00:00:00:02,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.743,00:00:00:00:00:02,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.744,00:00:00:00:00:02,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:12.980,00:00:00:00:00:06,33:33:00:00:00:02,3,4294967291,70
2024-03-06 12:42:13.007,00:00:00:00:00:06,33:33:00:00:00:02,3,4294967291,70
2024-03-06 12:42:13.010,00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,3,4294967291,42
2024-03-06 12:42:13.013,00:00:00:00:00:06,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:13.014,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,2,4294967291,42
2024-03-06 12:42:13.015,00:00:00:00:00:06,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:13.017,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,2,4294967291,42
2024-03-06 12:42:13.018,00:00:00:00:00:06,33:33:00:00:00:02,1,4294967291,70
2024-03-06 12:42:13.021,00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.023,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.024,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,2,4294967291,42
2024-03-06 12:42:13.026,00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.027,00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.029,00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.031,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.032,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.033,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.034,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,1,4294967291,42
2024-03-06 12:42:13.035,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,1,4294967291,42
